Topic,Count,Name,Representation,Representative_Docs
-1,24,-1_nan_terbaik_the_sgt,"['nan', 'terbaik', 'the', 'sgt', 'best', 'eka', 'ajiiiiib', 'jossss', 'la', 'pokok']","['nan', 'nan', 'nan']"
0,233,0_dana_saya_di_bisa,"['dana', 'saya', 'di', 'bisa', 'tidak', 'cicil', 'dan', 'aplikasi', 'ada', 'nya']","['ga bisa di pake saya udah bayar padahal dana cicil nya', 'kenapa dana cicil saya gak bisa di gunakan padahal sudah melakukan pelunasan dan kenapa dana instan di apk dana saya gak keluar', 'dana cicil tidak ada di apk dana saya']"
1,40,1_bagus_baguss_nice_sempurna,"['bagus', 'baguss', 'nice', 'sempurna', 'sekali', 'baik', '', '', '', '']","['bagus', 'bagus', 'bagus']"
2,35,2_bagus_sangat_baik_sekali,"['bagus', 'sangat', 'baik', 'sekali', 'biasa', 'luar', 'suka', 'banget', 'bermanfaat', 'amat']","['sangat bagus', 'sangat bagus', 'sangat bagus']"
3,31,3_membantu_sangat_terimakasih_sangai,"['membantu', 'sangat', 'terimakasih', 'sangai', 'masyarakat', 'menbantu', 'mmbantu', 'mantapterimakasih', 'membantubagus', 'mengatasi']","['sangat membantu', 'sangat membantu', 'sangat membantu']"
4,25,4_mantap_tahap_posting_aktivin,"['mantap', 'tahap', 'posting', 'aktivin', 'isferigood', 'mnatap', 'tertarik', 'paswod', 'pertama', 'minta']","['mantap', 'mantap', 'mantap']"
5,24,5_baik_berbicara_pme_bermanfaat,"['baik', 'berbicara', 'pme', 'bermanfaat', 'atw', 'am', 'bakk', 'boleh', 'euy', 'lw']","['baik', 'baik', 'baik']"
6,20,6_ok_oke_pokonya_membantu,"['ok', 'oke', 'pokonya', 'membantu', 'mantap', '', '', '', '', '']","['ok', 'ok', 'ok']"
7,13,7_puas_memuaskan_sangat_sukses,"['puas', 'memuaskan', 'sangat', 'sukses', 'sanggat', 'sekali', 'bagus', 'dan', '', '']","['bagus sangat puas', 'sangat puas', 'sangat puas']"
8,13,8_bgus_mantab_bug_plyanan,"['bgus', 'mantab', 'bug', 'plyanan', 'oky', 'hebrbr', 'mantullll', 'matoh', 'anjg', 'xhji']","['bgus', 'bgus', 'bgus']"
9,12,9_good_walaupun_apl_job,"['good', 'walaupun', 'apl', 'job', 'eror', 'sering', 'bagus', '', '', '']","['good', 'good', 'good']"
10,11,10_keren_top_cepat_boy,"['keren', 'top', 'cepat', 'boy', 'tepat', 'siip', 'pokoknya', 'dan', 'mantap', '']","['keren', 'keren', 'keren']"
