content_cleaned,label
dana cicil tidak bisa di pake padahal udah bayar tagihan,0.0
good,1.0
bagus,1.0
daptar belum bisa update,0.0
knp paylatter saya tidak bisa,1.0
aktifkan dana cicil saya,1.0
oke membantu,1.0
good,1.0
good job,1.0
tolong di upgratd buat limit penerimaan uang terlalu sedikit,1.0
ok,1.0
mantab,1.0
saya mau komplain tentang masalah penarikan di dana golls  sebegitu sulit buat menarik uang sendiri verifikasi wajah sudah di lakukan tapi masih tetap gagal mohon tanggapi komentar saya,0.0
dana makin the best,1.0
dana sangat berguna,1.0
sanggat kecewa atas dana saya udah lamaa pakai dan transaksi udah banyak setiap kali daftar dana cicil gak pernah diacc saya mau berhenti pakai dana klau buat kecewa terus,0.0
perbaiki fitur pesan masuk supaya bisa dihapusterima kasih,1.0
bagaimana cara mengaktifkan beli emas dan dana cicil,1.0
sangat bermanfaat sekali,1.0
sangat mmbantu,1.0
baik,1.0
mudah mentranver uang,1.0
ga bisa verivikasi wajah aplikasi jelek ga guna,0.0
gue kecewa dana cicilan aku gak muncul padahal aku dha lama pake dana,0.0
aplikasi nya jelek  pusat bantuanya gk guna costumer servisnya sulit di hubungierorr teruss,0.0
mantap,1.0
sangat bgus dan aman,1.0
ikuti aja bos alur ya uang saya mereka mkn sudah banyak biar kan orang itu kurang banyak mkn uang kekalahan saya bkal saya tuntut,0.0
sangat baik,1.0
setelah update ini sedikit mengecewakan sudah scan ektp sudah scan wajah masih saja gagal pindah ke dana premium,0.0
good,1.0
baguss,1.0
masha alloh transaksi pake dana sangat mudah,1.0
kalo dipake qris keluar apk mulu,0.0
bagus,1.0
lebih mudah bertransaksi good,1.0
mantap,1.0
better,1.0
sangat bakk,0.0
mantap,1.0
sangat bagus,1.0
kok akun saya ga ada fitur dana cicil atau dana instant,0.0
permohonan fitur dana cicil dan dana instan di menu tidak ada,1.0
sangat bagus,1.0
saldo di potong langsung tanpa owner tau,0.0
bagus,1.0
bagus,1.0
saya tidak bisa melakukan transaksi dan transfer uang pakai aplikasi ini sangat tidak recomended apk ini,0.0
kaga perlu repot lagi,1.0
bagus banget,1.0
knpa sekarang mau masukin alamat dana susah bngt,1.0
ajiiiiib pokona mah,1.0
bagus walaupun sering eror,1.0
saya terus berjuang untuk mendapatkan apa yg saya harapkan,1.0
mantap,1.0
ini kenapa saya login kok muter muter terus bisa tolong di bantu,0.0
saldo yang di transfer oleh pihak ovo tidak masuk ke dana bisnis,0.0
baik sekali,1.0
mantap,1.0
sejauh ini saya mengunakan dana untuk teransaksi sangan aman dan bagus,1.0
pln mobil semakin jaya,1.0
keren aplikasi dan aman untuk simpan uang di dana,1.0
dana cicil tidak bisa di gunakan,0.0
bagus sekali,1.0
kak kok di apk dana saya ngk keluar play later nya kak,0.0
udah bagus saran aja tambahin fitur beli tiket kereta,1.0
sangat mempermudah transaksi,1.0
sangat membantubagus,1.0
ok pisan euy,1.0
good,1.0
ihh makasih ya atas aplikasi nya aku kan mau download minecraft bangun kotamu terus kan bayar  rb jadinya bisa deh karena bantuan ini terima kasih ya,1.0
aktivin dana cicil,1.0
verifikasi akun,0.0
bagus,1.0
sy mengajukan penghapusan akun premiumdi suruh menuggu beberapa hari lg,0.0
ok,1.0
sangat bagus sayang admin nya besar,1.0
sgt membantu,1.0
,1.0
apakah pernah ada yang mengalami tiba akun dana kita ada transaksi yang tidak di kenal dan saldo kota habis tanpa kita tahu dan sedangkan kita tidak merasa bertransaksi,0.0
sangat baik,1.0
mantap,1.0
apk nya tdk jls saya tidak merasa tersaper eh malah ternsper sendiri udh mh no tujuan gk di kenal saldo habis mau apk dana sudah tidak aman lagi kocak,0.0
bagus,1.0
bagus,1.0
aplikasi sangat membantu,1.0
status transaksi success tapi saldo tidak bertambah,0.0
,1.0
mudah buat transaksi,1.0
ok,1.0
tolong aktifkan dana cicil saya,1.0
kenapa yaa aku ga bisa masuk ke dana sekalinya mau berhasil eh malah keluar aduh bingung banget niee kenapa yaa kira kira kasus aku apa yaa,1.0
bagus,1.0
sangat membantu mantap,1.0
good apl,1.0
bagus,0.0
ini kenapa pembayaran saya gagal sedang kan saldo saya mencukupi,0.0
sangat puas,1.0
sangat menbantu masyarakat indonesia,1.0
bagus,1.0
saya sangat suka trimakasih,1.0
dana cicil tidak ada di apk dana saya,1.0
mohon kembalika uang saya yang tiba tiba hilang,1.0
sangat bermanfaat,1.0
sangat membantu,1.0
terimakasih banyak dana dulu aku tidak bisa login dan tidak ada fitur pemindahan akun sekarang ada semoga  hari kedepan akunku dapat pulih kembali,1.0
bantu menutup akun dana saya ats nama maring yakub,1.0
sangat bagus,1.0
sangat menbatu ini apk apa lagi sekarang ada dana cicil memudah kan sya dan keluarga,1.0
semuanya ok v disaat paylater telat bisa di gunakan nya lagi ter lalu lama,1.0
pelayanan cepat mempermudah pemakai,1.0
mantapmudah dan cepat,1.0
bagus,1.0
sangattt amannnn,1.0
sangat membantu,1.0
biar bintang yang berbicara,1.0
sudah verifikasi pakai sandi dan wajah masih tetap tidak masuk haris minta kode otp trusss sedangkan kartu saya sudah hilang terakhir ribet berbeda dengan dompet digital yang lain yang penting sudah pakai verifikasi wajah langsung bisa masuk,0.0
gimana ini saya sudah melakukan pembayaran dana cicil tapi tidak bisa melakukan transaksi lagi  terus tibatiba saja uang saya hilang tanpa saya melakukan transaksi,0.0
terbaik,1.0
kurang,0.0
mantullll,1.0
goow,1.0
gua gak dikasih solusi padahal abis di tipu,0.0
pembelian kuota sudah dibayarsaldo dana pun sudah berkurang eh malah masuk ketagihan dana cicil tagihan jadi bertambah aneh banget cara nyari keuntungan nya udah bayar malah d hitung jadi utang bukan masalah nominalnya yg receh tapi tolong dong amanah,0.0
didana ku tidak bisa keluar dana instan padahal udah pindah ke dana premium,1.0
terpercaya,1.0
bgus plyanan nya,1.0
sangat mudah digunakan di,1.0
memuaskan,1.0
sangat bagus dan memuaskan,1.0
keren,1.0
alhamdullah dana sangat amanah dan semoga selanya aman dan amanah,1.0
bagus,1.0
sangat bagus,1.0
aplikasi yang sangat buruk saya top up  kirim ke gopay masuk nya  padahl udh kena potong dari dana,0.0
apk lag bgt sinyal udh bagus hp juga oke buat tf aja ribet udh di upgrade ke premium masih aja ga bisa suruh upgrade mulu padahal udh di upgrade benerin,0.0
dana sangat nggk amanah uang di dana di tarik aplikasi pdhl butuh bngt setiap abis di tf ortu blm sempet aku tarik sdh hilang saldo nya di tarik aplikasi bdoh bngt ini aplikasi ngerugiin orang bngt pdhl uang itu untuk makan malah di ambil aplikasi pokoknya dana ini nggak bagus buat di download sangat nggk amanah,0.0
fitur reksa dana ga jelas saya mau tarik saldo nya perlu verifikasih wajah pas udah verifikasih minta di ulang terus,0.0
ini sangat membantu top up,1.0
ok,1.0
alhamdulillah,1.0
mempermudah,1.0
lelet bangettt jaringan aku aja bagus dibilang tidak ada koneksi udah selama  minggu gimana si server nya saya mau cepat tf nya malah di persusah,0.0
thank you,1.0
keren banget,1.0
bagus,1.0
apk sampah dacil udah di lunasin ga bisa di pake lagi,0.0
coba dana cicil,1.0
eror,0.0
sangat terbantu dengan aplikasi dana,1.0
mempermudah akses,1.0
good,1.0
sangat membantu saya sekali terimakasih,1.0
sangat bagus dan membantu,1.0
sangat amat bagus,1.0
terimakasih dana mengatasi masalah,1.0
bagus,1.0
sangat membantu dan mempermudah urusan,1.0
