userName,score,at,content
Sinar Mamuju,1,2026-05-07 14:16:44,dana cicil tidak bisa di pake padahal udah bayar tagihan
Ubbe Sierasta,5,2026-05-07 14:15:02,good
I-one rahmat,4,2026-05-07 14:11:41,bagus
Robet Robet,2,2026-05-07 14:09:12,daptar belum bisa update
Mr Koran,5,2026-05-07 14:08:35,knp PAYLATTER saya tidak bisa
David Vitaks,5,2026-05-07 14:07:54,aktifkan dana cicil saya
Gusti Awan,4,2026-05-07 14:07:31,oke membantu
Maju serasi Situmorang,5,2026-05-07 14:07:17,good
Yupi Nurlaeni,5,2026-05-07 14:06:27,good job
Only U,5,2026-05-07 14:02:35,tolong di upgratd buat limit penerimaan uang terlalu sedikit...
Surya Yadi,5,2026-05-07 14:00:30,Ok
Roiz Oiz,5,2026-05-07 14:00:09,mantab
Ersa Mayora,2,2026-05-07 13:56:11,"saya mau komplain tentang masalah penarikan di dana golls , sebegitu sulit buat menarik uang sendiri verifikasi wajah sudah di lakukan tapi masih tetap gagal mohon tanggapi komentar saya"
Charly Manurung,5,2026-05-07 13:55:42,dana makin the best.
mas faruk,5,2026-05-07 13:53:13,dana sangat berguna
Iyang Komalasari,1,2026-05-07 13:53:09,"sanggat kecewa atas dana saya udah lamaa pakai dan transaksi udah banyak, setiap kali daftar dana cicil gak pernah di-ACC Saya mau berhenti pakai dana klau buat kecewa terus,,,,,"
Kahfiyudin Amri,5,2026-05-07 13:52:07,perbaiki fitur pesan masuk supaya bisa dihapus.terima kasih
fpran ardianto,5,2026-05-07 13:48:33,bagaimana cara mengaktifkan beli emas dan dana cicil
Riman Pramuja,5,2026-05-07 13:45:45,sangat bermanfaat sekali
Fauzan,5,2026-05-07 13:45:03,sangat mmbantu
Ilyas,5,2026-05-07 13:42:56,baik
nabila a,5,2026-05-07 13:41:24,mudah mentranver uang
rizky ryga,1,2026-05-07 13:35:25,"ga bisa verivikasi wajah, aplikasi jelek ga guna"
Ibrahim Hasibuan,2,2026-05-07 13:34:55,"gue kecewa dana cicilan aku gak muncul, padahal aku dha lama pake dana"
Arbani Hanifa,1,2026-05-07 13:33:47,"aplikasi nya jelek ,, pusat bantuanya gk guna,, costumer servisnya sulit di hubungi..erorr teruss..."
Ibnu Tafsir,5,2026-05-07 13:33:17,mantap
Budiani Ani,5,2026-05-07 13:28:45,sangat bgus dan aman
karis,1,2026-05-07 13:25:31,ikuti aja bos alur ya uang saya mereka mkn sudah banyak biar kan orang itu kurang banyak mkn uang kekalahan saya bkal saya tuntut
Vivo Y15s,3,2026-05-07 13:23:11,"cuman punya ku aneh gak ada fitur ""DANACicil""nya.!!"
Titan Wahyu Juliansyah,5,2026-05-07 13:18:37,sangat baik
Syahruradi,1,2026-05-07 13:18:08,"setelah update ini sedikit mengecewakan, sudah scan e-ktp sudah scan wajah masih saja gagal pindah ke DANA premium."
Sean Emmanuel,5,2026-05-07 13:17:37,Good 👍
sugiarto blondo,5,2026-05-07 13:17:26,baguss
Hari Minggu,5,2026-05-07 13:15:38,Masha Alloh transaksi pake dana sangat mudah
Kiki Wijaya,2,2026-05-07 13:12:51,kalo dipake qris keluar apk mulu
Tatang Bustomi,5,2026-05-07 13:11:03,bagus
